file,sent_id,type,before_context,ours,reference,after_context,accept
br-e02,WvS+,replace,"is subtle and rather bland,",nut like.,nut-like.,It is a flavor that,
br-e02,mgdq,replace,fruit is then cooled to,"42' F.,","42'F.,",a temperature at which it,
br-e02,UJpz,replace,blood. Then they were given,1 2,1/2,to 1 - 1 2,
br-e02,UJpz,replace,were given 1 2 to,1 - 1 2,1-1/2,avocados per day as a,
br-e03,GA2Z,replace,by placing a one-kiloton warhead,(1 20 th,(1/20th,the size of those used,
br-e04,nrXx,replace,lyric beauties of Schubert's Trout,Quintet -,Quintet-,its elemental rhythms and infectious,
br-e04,YAlV,replace,is pinched and edgy. The,twenty-five year old,twenty-five-year-old,recording offers rather faded string,
br-e04,KbGB,replace,and live music with our,responses,reponses,and behavior in different types,
br-e04,BHGY,replace,hall never intrudes as a,quasi performer.,quasi-performer.,The timbre remains that of,
br-e04,2uoV,replace,"it had been ""doctored for",super high,super-high,"fidelity"". The home listener is",
br-e05,qTMd,replace,Mrs. Long advised the Juniors:,""" When","""When",showing dogs ceases to be,
br-e05,iCod,replace,was awarded the Professional Handlers',"Ass' ns' Leonard Brumby, Sr.","Ass'ns' LEONARD BRUMBY, SR.",Memorial Trophy (named for the,
br-e05,ImlN,replace,"showing a Doberman Pinscher, was","2 nd. Susan Hackmann,","2nd. SUSAN HACKMANN,","age 14, from Baltimore, Md.,",
br-e07,n2Wa,replace,most of the bars being,"1 8 """,1/8'',"brass in 1 4 """,
br-e07,n2Wa,replace,"1 8 "" brass in","1 4 """,1/4'',"and 1 2 "" widths.",
br-e07,n2Wa,replace,"in 1 4 "" and","1 2 """,1/2'',widths. You may change the,
br-e07,hCWD,replace,of the same material but,"12 """,12'',"long. Let exactly 1 """,
br-e07,FlZE,replace,"12 "" long. Let exactly","1 """,1'',"of ""A"" extend beyond ""B""",
br-e07,n6b9,replace,12 pieces of **f cut,"5 - 3 4 ""long",5-3/4'' long,side by side but separated,
br-e07,n6b9,replace,pieces of the same material,"1 2"" sq. .",1/2'' sq..,This gives you the spacing,
br-e07,k/aF,replace,right angles. There should be,"10 ""between",10'' between,the two parallel members and,
br-e07,k/aF,replace,members and each should be,"1""",1'',from an end of the,
br-e07,bCql,replace,place) with a **f bar.,Tack solder,Tack-solder,"all the 1 2 """,
br-e07,bCql,replace,bar. Tack solder all the,"1 2 """,1/2'',sq. pieces to the 10,
br-e07,bCql,replace,""" sq. pieces to the","10 """,10'',"and 12 "" members. These",
br-e07,bCql,replace,"to the 10 "" and","12 """,12'',members. These will be drilled,
br-e07,a8HU,replace,spacers and locate the upper,"12 """,12'',"bar ""A"". Solder it and",
br-e07,+dHc,replace,frame. Now place 12 pieces,"1 2 """,1/2'',sq. on this edge as,
br-e07,+dHc,replace,and space them with the,"5 - 3 4 """,5-3/4'',"long ""tappets"", as they are",
br-e07,3ASz,replace,that the centers are about,"1 8 """,1/8'',from any edge. Drill all,
br-e07,JcS/,replace,frame except for the two,"12""",12'',and the first two 3,
br-e07,JcS/,replace,"12"" and the first two","3 - 3 4 """,3-3/4'',"bars (""A"" and ""B"" pieces),",
br-e07,AZvS,replace,not pinched by a twisted,"1 2 """,1/2'',sq. spacer. As an anchor,
br-e07,QAHT,replace,of **f brass bar stock,"3 - 3 4 """,3-3/4'',long. These are supporting members,
br-e07,Vxu3,replace,No. 28 holes in the,"12 """,12'',"long ""A"" pieces. Locate the",
br-e07,SNjq,replace,Drill a No. 50 hole,"1 - 1 4 """,1-1/4'',from one end and tap,
br-e07,rFFN,replace,"other end of the tappet,","1 4 ""plus",1/4'' plus,half the diameter of the,
br-e07,rFFN,replace,the 2-56 screw head (about,"5 64"")",5/64''),away from the frame edge.,
br-e07,KI40,replace,edge. Total distance is about,"21 64 "".",21/64''.,Tend to make this dimension,
br-e07,PiFR,replace,screw head to get exactly,"1 4 """,1/4'',tappet movement. Drill a No.,
br-e07,6Gt9,replace,bottom of Fig. 7. Bar,"""C""is 2 - 3 4 ""","""C"" is 2-3/4''","long. Draw file the edges,",
br-e07,KMbC,replace,"- 3 4 "" long.",Draw file,Draw-file,"the edges, square up the",
br-e07,dNc0,replace,drill the No. 31 hole,"7 16 """,7/16'',from one end of the,
br-e07,6gY0,replace,bar. Chuck a length of,"1 8 ""dia.",1/8'' dia.,drill rod into a drill,
br-e07,6gY0,replace,then file a slight taper,"1 8""",1/8'',long. Cut the piece about,
br-e07,UhNL,replace,long. Cut the piece about,"9 32 ""or 5 16""",9/32'' or 5/16'',long and drive it into,
br-e07,QTHo,replace,the bar and the top,"1 8 """,1/8'',above the bar. This dog,
br-e07,3/Sl,replace,with a carborundum disk about,".020 """,.020'',"thick and 1 "" dia.",
br-e07,3/Sl,replace,"about .020 "" thick and","1 """,1'',dia. fitted on a 1,
br-e07,3/Sl,replace,""" dia. fitted on a","1 8 """,1/8'',dia. mandrel. Such disks are,
br-e07,HO7t,replace,and fit basis. Chuck a,"2 """,2'',"or 3 "" piece of",
br-e07,HO7t,replace,"Chuck a 2 "" or","3 """,3'',"piece of 1 8 """,
br-e07,HO7t,replace,"or 3 "" piece of","1 8 """,1/8'',dia. drill rod in a,
br-e07,pQC8,replace,a sharp scribing point about,"3 64 """,3/64'',"long on one end, using",
br-e08,kj//,replace,The symbol for multiplication is,""""".","""@"".",It is used to separate,
br-e08,Jhh2,replace,in a row. For example:,**fNumbers,**f Numbers,to be multiplied together may,
br-e08,CHRT,replace,Addition is indicated by the,+,&,symbol. The symbol is used,
br-e08,rnio,replace,or more numbers. For example:,**fNumbers,**f Numbers,separated by addition symbols may,
br-e08,e/P0,replace,have a cylinder diameter of,3 - 7 8,3-7/8,inches and a stroke length,
br-e08,Qh0L,replace,"previous example, the equation becomes:",* *,"**f To determine the rear axle gear ratio for a combination of the other three factors, the formula is: **f Using the figures from the previous examples, the equation becomes: **f",,
br-e09,v88e,replace,"mile in 2:34, last quarter",in: 35.3.,in :35.3.,In going away Debonnie got,
br-e10,/4Ne,replace,"Deerstalker, which only scales about",6 - 1 2,6-1/2,pounds. If ever a rifle,
br-e10,6fgJ,replace,accuracy even though it's only,3 - 1 2,3-1/2,inches long. You can unscrew,
br-e10,+3Of,replace,a deluxe grade) has an,18 - 1 2 - inch,18-1/2-inch,barrel and was obviously inspired,
br-e10,UZud,replace,a 21-inch barrel and a,short - 12 - 1 2 - inch -,short- 12-1/2-inch-,stock; it's just right for,
br-e10,UZud,replace,right for a boy of,12 - 1 2.,12-1/2.,A beginner's shotgun has also,
br-e10,RFbG,replace,easily. This gun has a,12 - 1 2 - inch,12-1/2-inch,stock and is available in,
br-e11,szT8,replace,,Livery Stable -,LIVERY STABLE-,"J. Vernon, Prop. Coaching had",
br-e11,szT8,replace,"Livery Stable - J. Vernon,",Prop.,"PROP"".",Coaching had declined considerably by,
br-e12,+ADu,replace,"advance planning. For this reason,",U. S.,U.S.,Camera has prepared this special,
br-e12,xww3,replace,"bright and light-reflecting. In color,",1 50 th,1/50th,of a second between **f,
br-e14,wPcW,delete,can take it with you,-,,"a picnic bag, a grill,",
br-e14,3aMP,replace,watering! 1 cup chili sauce,1 3,1/3,cup water 1 tablespoon barbecue,
br-e14,3aMP,replace,sauce 2 teaspoons prepared mustard,1 2,1/2,"pound chipped, spiced ham 6",
br-e14,0C5H,replace,8-oz. can crushed pineapple and,1 2,1/2,cup of the juice 1,
br-e14,0C5H,replace,2 cup of the juice,1 4,1/4,cup brown sugar 2 tablespoons,
br-e14,0C5H,replace,2 tablespoons dry mustard Water,1 2,1/2,"cup heavy cream, whipped Salt",
br-e14,D9AX,replace,"seeds, too, if you'd like.",1 2,1/2,cup minced celery 1 4,
br-e14,D9AX,replace,1 2 cup minced celery,1 4,1/4,cup minced onion 1 2,
br-e14,D9AX,replace,1 4 cup minced onion,1 2,1/2,cup tomato ketchup 1 2,
br-e14,D9AX,replace,1 2 cup tomato ketchup,1 2,1/2,cup water 1 4 cup,
br-e14,D9AX,replace,ketchup 1 2 cup water,1 4,1/4,cup vinegar 2 tablespoons brown,
br-e14,D9AX,replace,sauce 1 tablespoon prepared mustard,1 2,1/2,teaspoon salt 8 frankfurters Combine,
br-e14,RJui,replace,2 cups biscuit mix with,2 3,2/3,cup milk to make a,
br-e14,PM7Y,replace,"carefully into 12 strips, about",3 4,3/4,inch by a foot long.,
br-e14,G32n,replace,Brush frankfurter twists with about,1 2,1/2,cup melted butter and toast,
br-e14,Nx9T,replace,grated onion Dash of pepper,1 2,1/2,teaspoon salt 1 2 cup,
br-e14,Nx9T,replace,pepper 1 2 teaspoon salt,1 2,1/2,cup chopped walnuts 1 4,
br-e14,Nx9T,replace,1 2 cup chopped walnuts,1 4,1/4,cup ice cold bourbon Combine,
br-e15,sND1,replace,used. Clay was rolled to,"1 4 """,1/4'',thickness. Back of clay scored,
br-e15,XpXI,replace,"clay was used, rolled to","1 4 """,1/4'',thickness. Bisque fired to cone,
br-e15,xaLX,replace,"Red clay was used, rolled","1 2 """,1/2'',thick. Mold was used as,
br-e15,rgEw,replace,press three equally spaced holes,"1 4 """,1/4'',"deep, using pencil eraser, in",
br-e15,7wd1,replace,"or buff clay, rolled to","3 16 """,3/16'',thickness. Place patterns on rolled,
br-e15,/mc+,replace,so that they overlap about,"1 2 """,1/2'',and make even thickness. Place,
br-e15,+HZ/,replace,press eraser of pencil gently,"1 4 """,1/4'',deep into deep clay to,
br-e15,QFrO,replace,**f.) Roll white clay to,"3 16 """,3/16'',thickness. Use mold to cut,
br-e15,JcjF,replace,is a strip of clay,"1 2 ""wide",1/2'' wide,"and 3 - 1 2""",
br-e15,JcjF,replace,"clay 1 2 ""wide and","3 - 1 2""",3-1/2'',"long. To add handle, place",
br-e16,gLUN,replace,23 feet long with an,8 - 1 2 - foot,8-1/2-foot,beam and every inch a,
br-e16,+DdE,replace,"buy it, is about the",13 16 - inch,13/16-inch,thickness specified in the drawings.,
br-e16,J7Dy,replace,butted at the joints and,3 8 - inch,3/8-inch,plywood gussets are glued and,
br-e16,X3JZ,replace,will be given since the,13 16 - inch,13/16-inch,thickness is used throughout) is,
br-e16,1MZS,replace,on all frames. Glue and,"1 - 1 2 - inch,","1-1/2-inch,",No. 10 screws are used.,
br-e16,TtbX,replace,"renting. The planking is five-ply,",3 8 - inch-thick,3/8-inch-thick,Weldwood Royal Marine plywood. This,
br-e17,dkU6,replace,have a good grade of,1 8 - inch,1/8-inch,double-strength glass set in a,
br-e17,NsYd,replace,is highly recommended. Note: If,1 2 - inch,1/2-inch,panel board is used inside,
br-e17,NsYd,replace,"used inside and out, or",5 8 - inch,5/8-inch,one side and 3 8,
br-e17,NsYd,replace,- inch one side and,3 8 - inch,3/8-inch,"the other, and 1 8",
br-e17,NsYd,replace,"- inch the other, and",1 8 - inch,1/8-inch,"glass is used, stock lumber",
br-e18,EBDJ,replace,arms in the war of,the' 60 s.,the '60s.,The bridge has survived the,
br-e18,ddNs,replace,"Never rebuilt, the bridge was",strengthened,strengtened,in 1938 by two extra,
br-e21,EOR2,replace,for a good deal of,pre planning.,pre-planning.,This is particularly true in,
br-e21,YvuE,replace,needs and objectives of your,organization,organtion,are; you must have a,
br-e21,GzzB,replace,moving or grading might be.,-,#WATER#-,In addition to its recreation,
br-e22,7Rj8,replace,both the musicians and the,social economic,social-economic,haute monde which supported the,
br-e22,7Rj8,replace,the concert world of the,post World,post-World,"War 1, era. Prokofieff's outlook",
br-e22,VRNh,replace,era. Prokofieff's outlook as a,composer pianist conductor,composer-pianist-conductor,"in America was, indeed, brilliant.",
br-e22,kZUh,replace,satire on modernism; to the,"Neo Classicists,","Neo-Classicists,",it was a challenge to,
br-e22,63Yk,replace,Prokofieff? A tongue-in-cheek stylization of,18 th Century,18th-Century,ideas; a trial balloon to,
br-e22,yjn/,replace,shouting in his high-pitched voice:,"""it",""" it",may be a tour de,
br-e22,6eqb,replace,"well, under different circumstances. His","fellow countryman,","fellow-countryman,","Igor Stravinsky, certainly did not.",
br-e22,0MSE,replace,"du Printemps, his incisive Les",Noces -,Noces-,the world kept hoping that,
br-e22,SpW+,replace,a house divided against itself:,"Supra Expressionism, Neo Paganism, Neo Classicism, Neo Romanticism, Neo Jazz, Neo Ecclesiasticism, Neo Popularism,","Supra-Expressionism, Neo-Paganism, Neo-Classicism, Neo-Romanticism, Neo-Jazz, Neo-Ecclesiasticism, Neo-Popularism,","and most recently, Post Serialism",
br-e22,SpW+,replace,"Neo Popularism, and most recently,",Post Serialism -,Post-Serialism-,all competing with each other,
br-e22,pQFc,replace,With a large and circumspect,20 th Century,20th-Century,"technique, he wove the materials",
br-e22,kXkj,replace,significance- his music is strong,20 th Century,20th-Century,evidence of the effectiveness of,
br-e23,5qM2,replace,the whole composition; and that,"over all,","over-all,",amazing control of large washes,
br-e23,+2Fi,replace,bristle. The red sables are,8;,@8;,"two riggers, 6 and 10;",
br-e23,+2Fi,replace,"sables are 8; two riggers,",6,@6,and 10; and a very,
br-e23,+2Fi,replace,"8; two riggers, 6 and",10;,@10;,"and a very large, flat",
br-e23,3xJ6,replace,The bristles are a Fitch,2,@2,and a one-half inch brush,
br-e23,QNRz,replace,"blue, Winsor green, Hooker's green","2,","@2,","cadmium yellow pale, yellow ochre,",
br-e23,LC6U,replace,"painting, Mason's physical eyes are","half closed,","half-closed,",while his mind's eye is,
br-e24,N1WH,delete,"looking, better built, better disciplined",-,,and something else- they were,
br-e24,D+VO,replace,the rigorous training on apparatus.,"Well stretched,","Well-stretched,",trained in posture and coordinated,
br-e24,rrrU,replace,were further stripped of old,wives',wive's,"tales by seeing the slender,",
br-e24,rrrU,delete,performing feats requiring tremendous strength,-,,and with not one bulging,
br-e24,S1jB,replace,living provides the strength we,"need,",need,and nothing provides the flexibility.,
br-e24,C/e7,replace,over 29 percent of the,11 - year old,11-year-old,boys in America cannot chin,
br-e25,wu6q,replace,as was used in the,field sequential color TV,field-sequential color-TV,system which preceded the present,
br-e25,AgA4,replace,systems are measured by a,pulse timing,pulse-timing,"circuit and a resistance bridge,",
br-e26,vm73,replace,no one had determined the,cause and effect,cause-and-effect,relationship between these two primary,
br-e27,N1Yy,replace,may be increased by the,anti infective,anti-infective,properties of this drug. To,
br-e27,03Sd,replace,may be increased by the,anti infective,anti-infective,properties of this drug. Not,
br-e27,Zbv/,replace,animals. At the rate of,2 - 1 2,2-1/2,milligrams per head per day.,
br-e27,bIsY,replace,and butterfat percentage. 1 to,1 - 1 2,1-1/2,grams per 100 pounds of,
br-e27,kyHO,replace,and Flavus.) Improves utilization of,low moisture,low-moisture,corn (less than 14%). Greatest,
br-e27,t9AJ,replace,have been associated with feeding,low moisture,low-moisture,corn in beef feeding programs.,
br-e27,t9AJ,replace,feeding low moisture corn in,beef feeding,beef-feeding,programs. Several firms are merchandising,
br-e27,huY5,replace,prevention of acetonemia (ketosis) feed,1 4,1/4,pound per day beginning at,
br-e27,lJCD,replace,the treatment of ketosis feed,1 4,1/4,to 1 2 pound per,
br-e27,lJCD,replace,ketosis feed 1 4 to,1 2,1/2,pound per day for 10,
br-e27,inVK,replace,"For prevention of ketosis, feed",1 4,1/4,pound per head daily for,
br-e27,SYOk,replace,"For treatment of ketosis, feed",1 2,1/2,pound daily until symptoms disappear.,
br-e29,SGSD,replace,designer. We must build a,corps,corp,of highly professional teachers of,
br-e30,6Qzv,replace,between new benefits and their,cents per hour,cents-per-hour,cost in wages. Can you,
br-e30,lRGe,replace,benefits? Have you publicized the,cents per hour,cents-per-hour,value of the company's share,
br-e30,qJqv,replace,employee-contributed (as opposed to fully,company paid),company-paid),programs? Do you protect your,
br-e30,3TL3,replace,"boiler operators, guards, and other","24 - hour day, 7 - day week","24-hour-day, 7-day-week",operations in order to minimize,
br-e30,AhK3,replace,sandwiches for the second- and,third shift,third-shift,operations? Have you checked the,
br-e30,9BLM,replace,one who serves on a,fee per case,fee-per-case,basis only? Can your plant,
br-e30,ITnV,replace,rigidly distinguish between job- and,non job connected,non-job-connected,health problems and avoid treating,
br-e30,CsMV,replace,in like manner. Put a,dollar and cents,dollar-and-cents,limit on benefits. Don't go,
br-e30,6ujm,replace,you have minimum age and,time on the job,time-on-the-job,requirements tied into your pension,
br-e31,RH1+,replace,The long and,ever increasing,ever-increasing,column of sportsmen is now,
br-e31,yjGx,replace,replaced the muzzle loader and,slow firing single shot,slow-firing single-shot,arms with modern fast firing,
br-e31,yjGx,replace,arms with modern fast firing,"autoloaders,","auto-loaders,","extremely accurate bolt, lever, and",
br-e31,JFEl,replace,the newer phases of modern,game management),game-management),for five and six months,
br-e31,FDPO,replace,"preserves, and on State Game",Commission controlled,Commission-controlled,upland game areas during the,
br-f03,D2+g,replace,"his lecture, refers to the","""startling",""" startling",experience which almost every person,
br-f03,W9xt,replace,"Interpretation Of Dreams, Chapter 1,:","""as",""" as",a matter of fact no,
br-f03,W9xt,replace,he has been unable to,"explain,",explain,nor is the discussion closed,
br-f03,zfpN,replace,"by Albert G. Ramsperger says,","""passed",""" passed","on to the brain, and",
br-f03,78DR,replace,"permanent prehistoric past, or the",ever existent past fantasy,ever-existent past-fantasy,future. Three seconds flat is,
br-f03,9inZ,replace,"with the king Kurigalzu, (1300",B.C. .),B.C.),escorted him to the treasure,
br-f05,M//c,replace,green and silver-painted craft only,22 - 1 2,22-1/2,"feet long, the Waco was",
br-f06,rN8m,delete,,"Are you retiring now? If so,",,"are you saying, ""Where did",
br-f06,Wz9Q,replace,"day, enjoy each one to",then't h,the n'th,"degree. Travel, if you can.",
br-f07,yOMe,replace,not able to take advantage,IN,of,them. The best course is,
br-f08,VyGJ,replace,weekly PTA meetings and the,Thursday night,Thursday-night,neighborhood card parties. Another put,
br-f08,u5Vq,replace,Another put sex on a,dollars and cents,dollars-and-cents,"basis. After every money argument,",
br-f08,XX2m,replace,the roost in the best,bull roaring,bull-roaring,Life With Father manner. In,
br-f08,TBem,replace,summed up the attitude of,the' 90 s.,the '90s.,Wives of the period shamefacedly,
br-f08,bMD4,replace,her almost undisputed sway over,"child rearing, money handling","child-rearing, money-handling",and home maintenance. She found,
br-f08,9450,replace,"to Dr. Ellis, the average",20 - year old,20-year-old,American woman is capable of,
br-f08,Rjhg,replace,"desires, more demanding and less","'understanding ""'.","'understanding'"".","Too many husbands, Dr. Schillinger",
br-f09,nLOh,delete,She gave herself a title,-,,Lady Diana Harrington. The New,
br-f09,HF25,replace,New York D.A. gave her,another-the,another the,Golden Girl of cafe society.,
br-f09,uy2P,delete,"a third, less flamboyant, title",-,,prostitute. And Houston police have,
br-f09,o0MD,replace,and finally back into this,country.,country,She has been acting as,
br-f09,dh8i,replace,trial Diane disappeared from New,York. It,York it,was no longer fashionable to,
br-f09,yaFi,replace,one of the Great American,Dreams -,Dreams-,wall-to-wall carpeting. There is only,
br-f10,DePa,replace,This machine will cure your,"cancer ridden body "".","cancer-ridden body"".","""Cancer""! Mrs. Shaefer practically shrieked.",
br-f11,I4FQ,replace,be the result of excessive,thumb -,thumb-,"or finger-sucking, tongue-thrusting, or lip-sucking-",
br-f11,Y0MB,replace,visit the orthodontist will take,"X-rays,","X rays,","photographs, tooth measurements, and ""tooth",
br-f11,8XdG,replace,"growth. ""Nature often takes care",IN,of,"the problem"", says Dr. Brodie.",
br-f13,vHbH,replace,he is away at his,off farm,off-farm,job. The farm may be,
br-f13,wJy0,replace,"for their health. Generally, the",same,s ame,level of living costs less,
br-f13,krg7,replace,farm should be on an,all weather,all-weather,road. If you grow anything,
br-f14,bvWj,replace,States the initiation of militant,"anti Communism,","anti-Communism,",with the repentant ex Communist,
br-f14,bvWj,replace,"anti Communism, with the repentant",ex Communist,ex-Communist,in the vanguard. These trials,
br-f14,Pc1J,replace,"of justification by a ""message"".",""" It is not an","""IT IS NOT AN",individual that is in the,
br-f14,JEyA,replace,but he believed in the,Jew as enemy,Jew-as-enemy,"in a kind of abstract,",
br-f14,MxSH,replace,Solution was aided by native,Jew haters -,Jew-haters-,"i.e., Germany, Poland, Hungary, Czechoslovakia-",
br-f15,HVFG,replace,"people is clear, profound and",far reaching.,far-reaching.,To try to oppose the,
br-f16,HsiY,replace,"17, 1610, the sturdy little",three masted,three-masted,"bark, Discovery, weighed anchor in",
br-f16,9kJE,replace,ship back to Amsterdam in,mid Atlantic.,mid-Atlantic.,"Worse, his present crew included",
br-f16,jztE,replace,picked her way along the,450 - mile long,450-mile-long,"strait, avoiding ice and rocky",
br-f17,m87P,replace,purchased great blocks of the,Company's,Comany's,stock with the view to,
br-f17,bWgc,replace,for the colony cost Selkirk,"1,040.","@1,040.",Nevertheless so short was the,
br-f17,TvSP,replace,"articles"" to a value of","4,500.","@4,500.",For its part the Hudson's,
br-f17,1QjE,replace,the whole of that unfortunate,"establishment "".","establishment"".","Despite Company threats, duly carried",
br-f18,ovrY,replace,the end of 'fall-in' and,"'close-up ""'.","'close-up'"".",The soldiers who comprised the,
br-f18,L0Ee,replace,to adopt the practice of,"cross writing, i. e.,","cross-writing, i.e.,",after writing from left to,
br-f18,cWOH,replace,you that I dodge pretty,"often,",often,for you can see that,
br-f18,mAiS,replace,the restrained usages characteristic of,19 th century,19th-century,"America, these letters usually were",
br-f18,ze7N,replace,lies and they believed it,all.,all,I would tell them I,
br-f18,IHyq,replace,his first skirmish in Virginia:,""" Dear","""Dear",Pa. Went out a Skouting,
br-f18,6X5F,replace,"""The docters is no a",conte.,conte,hell will be filde with,
br-f18,bvQK,replace,among the Alabamans on the,"right,",right,found some of the greenest,
br-f18,bvQK,replace,be a heap wus to,we' uns,we'uns,"all'"". In a similar vein,",
br-f19,+MIT,replace,Association were founded in the,"1880's,","1880s,",or that courses in American,
br-f19,eN0b,replace,reading public that longs for,"""the good","the ""good","old days"" and with an",
br-f20,qX9k,replace,"normal pressure-cooker course of thieving,","police dodging,","police-dodging,",and housebreaking. At the age,
br-f20,KYr5,replace,solidly Democratic. There was a,question and answer,question-and-answer,gag that went around at,
br-f20,uMDy,replace,was an interesting fraternisation of,"ex convicts,","ex-convicts,","union racketeers, ward heelers, sold-out",
br-f20,vBtn,replace,"reputation, who were Hirschey, a",gambler politician,gambler-politician,in loose beer running league,
br-f20,vBtn,replace,a gambler politician in loose,beer running,beer-running,"league with Torrio and O'Banion,",
br-f20,Rrrq,replace,it through. One of the,beer runners,beer-runners,telephoned O'Banion- on a line,
br-f20,/Jfi,replace,But in the meantime the,"beer runner,","beer-runner,","unhappy with this solution, telephoned",
br-f20,qIDJ,replace,were carted off in a,one night,one-night,"operation by the O'Banion men,",
br-f21,a4TI,replace,when they pour into a,V shaped,V-shaped,inlet or harbor they may,
br-f23,f2ag,replace,to show by way of,counter successes?,counter-successes?,We have had opportunities- clear,
br-f23,LYR2,replace,moved decisively to effect an,anti Communist,anti-Communist,coup d ' etat. We,
br-f23,LYR2,replace,effect an anti Communist coup,d ' etat.,d'etat.,"We served our national interests,",
br-f24,5ypp,replace,say we are in the,"nation building business "".","nation-building business"".",In the villages people lined,
br-f25,41u9,replace,"with your own background"". A",fourteen year old,fourteen-year-old,girl from the Middle West,
br-f25,8+Kp,replace,is that it is largely,college oriented. Sixty five,college-oriented. Sixty-five,per cent of the Jewish,
br-f25,JB2h,replace,"that I'm in college"", a",nineteen year old,nineteen-year-old,"machinist observed irritably. However, among",
br-f25,wnb0,replace,"a paradigm of the urban,",lower middle,lower-middle,"class Jewish student. There is,",
br-f25,4Kfb,replace,cage of neighborhood and family.,Brooklyn,@rooklyn,College is unequivocally Jewish in,
br-f25,8j6j,replace,"I'll never grow up"", a",nineteen year old,nineteen-year-old,"boy observed sadly. ""They don't",
br-f25,4fOl,replace,does not yet have a,junior year abroad,junior-year-abroad,"program, a good number of",
br-f33,VPgv,replace,"basis, but two years of",halftime,half-time,vocational training enables the young,
br-f43,f/Q9,replace,production was The Execution of,Mary,"Mary,",Queen of Scotts. The unfortunate,
br-f43,f/Q9,replace,Execution of Mary Queen of,Scotts.,Scots.,The unfortunate queen mounted the,
br-f43,9z81,replace,Great Train Robbery is a,one reel,one-reel,film. One reel- from eight,
br-f44,R3YU,replace,they can lose higher- and,lower status,lower-status,members from the church without,
br-g01,x1vn,replace,the intelligent- and therefore necessarily,cynical? -liberal,cynical?- liberal,considers that the need for,
br-g01,m3Kh,replace,"Griffith, in his book, The",Waist High,Waist-High,"Culture, wrote: ""most of what",
br-g01,m3Kh,replace,"The Waist High Culture, wrote:","""most",""" most",of what was different about,
br-g01,BmDF,replace,an area appropriate to a,"pre World War I,","pre-World-War-1,","great power have been, following",
br-g01,KB1G,replace,it should remain pure. Many,Northerners,Northeners,"believe this, too, but few",
br-g02,EK3u,replace,a collective duty to compensate,IN,for,the inability of individuals to,
br-g03,zm0S,replace,the big red button marked,"""alert"".",ALERT.,(There are two receivers in,
br-g04,Clf6,delete,as rigid as black statuary,-,,"six figures, lean and tall",
br-g04,nsm8,delete,make their way by landmarks,-,,"a tree here, a wash",
br-g04,Fg2b,delete,"northeast, then five miles southwest",-,,that sort of thing. Very,
br-g05,T0SS,replace,as the city's principal street.,? t,?t,takes place as well along,
br-g05,6/aH,replace,fragment by a recent poet:,""" Know","""Know","ye, fair folk who dwell",
br-g05,Ri10,replace,A world of love lies,"sepulchred "".","sepulchred"".",These songs (practically all Persian,
br-g06,AnZt,replace,usually stick to the old,phrase:' Ich,phrase: 'Ich,"habe ein Amt, aber keine",
br-g06,B3p4,replace,"of unfailing instinct and judgment"".",""" Is","""IS",the attitude of German youth,
br-g08,C8H6,replace,"his article, ""Twilight of Southern","Regionalism ""","Regionalism""","(Southwest Review, Winter 1957): """,
br-g08,5gSS,replace,Dos Passos did for New,York.,York,There are almost no fictional,
br-g11,BToQ,replace,man to coexist with man.,Constitutional,Consitutional,"government, popular vote, trial by",
br-g11,XvGv,replace,could account quantitatively for both,terrestrial,terrestial,and celestial motions. This understanding,
br-g11,8DgS,replace,and are still engaged in,determining,determing,them. We use terms from,
br-g12,F7lD,replace,word in my plays is,"'perhaps ""'.","'perhaps'"".","Given a theological lead, I",
br-g12,peo/,replace,a time of examining the,not strictly practical,not-strictly-practical,ends of culture. America is,
br-g13,LVyj,replace,she not yield to it?,""" Most often "",","""Most often"",","she says, ""it's the monogamous",
br-g13,LVyj,replace,the monogamous relationship that is,"dishonest "".","dishonest"".",There is nothing holy in,
br-g14,BFxN,replace,grandfathers had planted syringa and,"sweet shrub,","sweet-shrub,","snowball, rose-of-Sharon and balm-of-Gilead. From",
br-g14,cGFz,replace,"still worked in the ragged,",brown edged,brown-edged,holes; hot colored verbenas in,
br-g14,cGFz,replace,"the ragged, brown edged holes;",hot colored,hot-colored,verbenas in the corner between,
br-g14,ejE2,replace,of dogs and grandchildren. My,"great grandmother,","great-grandmother,","I have been told, made",
br-g14,De7Y,replace,like fire-crackers at a touch;,red and yellow,red-and-yellow,columbines whose round tipped spurs,
br-g14,De7Y,replace,red and yellow columbines whose,round tipped,round-tipped,spurs were picked off and,
br-g14,YUWb,replace,"silence, he lifted his voice:","""Rhu-beb ni ice","""Rhu-beb-ni-ice","fresh rhu-beb today""! The lazy",
br-g14,wzVr,replace,from sidewalk to lawn. At,"four o ' clock,","four-o'clock,","or four thirty, the coming",
br-g14,wzVr,replace,"four o ' clock, or","four thirty,","four-thirty,",the coming of the newsboy,
br-g14,OEq1,replace,hitching post or a stone,"carriage step,","carriage-step,",set with a rusty iron,
br-g15,4PAV,replace,the constant elements of the,"artist nature,","artist-nature,","technique, magic, guilt and suffering,",
br-g17,9WR/,replace,"to say it"". In the",pre Civil,pre-Civil,"War years, the South argued",
br-g17,Ijx/,replace,"it peace"" (""Solitudinem faciunt, pacem","appellant "".) .","appellant"".).","Moreover, the law of the",
br-g17,IERC,replace,a moral right to a,"voice?) ,","voice?),",what voices would be left?,
